Date,Start Time,Journey/Action,Charge
01-Jul-2026,08:12,Home Station to Office Station,2.80
01-Jul-2026,17:48,Office Station to Home Station,2.80
02-Jul-2026,08:12,Home Station to Office Station,2.80
02-Jul-2026,17:48,Office Station to Home Station,2.80
03-Jul-2026,10:05,Home Station to Museum Quarter,3.40
03-Jul-2026,15:30,Museum Quarter to Home Station,3.40
04-Jul-2026,11:20,Home Station to Riverside Market,3.10
04-Jul-2026,16:45,Riverside Market to Home Station,3.10
06-Jul-2026,08:12,Home Station to Office Station,2.80
06-Jul-2026,17:48,Office Station to Home Station,2.80
07-Jul-2026,08:12,Home Station to Office Station,2.80
07-Jul-2026,17:48,Office Station to Home Station,2.80
08-Jul-2026,10:05,Home Station to Museum Quarter,3.40
08-Jul-2026,15:30,Museum Quarter to Home Station,3.40
09-Jul-2026,08:12,Home Station to Office Station,2.80
09-Jul-2026,17:48,Office Station to Home Station,2.80
10-Jul-2026,08:12,Home Station to Office Station,2.80
10-Jul-2026,17:48,Office Station to Home Station,2.80
13-Jul-2026,10:05,Home Station to Museum Quarter,3.40
13-Jul-2026,15:30,Museum Quarter to Home Station,3.40
14-Jul-2026,08:12,Home Station to Office Station,2.80
14-Jul-2026,17:48,Office Station to Home Station,2.80
15-Jul-2026,08:12,Home Station to Office Station,2.80
15-Jul-2026,17:48,Office Station to Home Station,2.80
16-Jul-2026,10:05,Home Station to Museum Quarter,3.40
16-Jul-2026,15:30,Museum Quarter to Home Station,3.40
17-Jul-2026,08:12,Home Station to Office Station,2.80
17-Jul-2026,17:48,Office Station to Home Station,2.80
20-Jul-2026,08:12,Home Station to Office Station,2.80
20-Jul-2026,17:48,Office Station to Home Station,2.80
21-Jul-2026,10:05,Home Station to Museum Quarter,3.40
21-Jul-2026,15:30,Museum Quarter to Home Station,3.40
22-Jul-2026,08:12,Home Station to Office Station,2.80
22-Jul-2026,17:48,Office Station to Home Station,2.80
23-Jul-2026,08:12,Home Station to Office Station,2.80
23-Jul-2026,17:48,Office Station to Home Station,2.80
24-Jul-2026,10:05,Home Station to Museum Quarter,3.40
24-Jul-2026,15:30,Museum Quarter to Home Station,3.40
27-Jul-2026,08:12,Home Station to Office Station,2.80
27-Jul-2026,17:48,Office Station to Home Station,2.80
28-Jul-2026,08:12,Home Station to Office Station,2.80
28-Jul-2026,17:48,Office Station to Home Station,2.80
29-Jul-2026,10:05,Home Station to Museum Quarter,3.40
29-Jul-2026,15:30,Museum Quarter to Home Station,3.40
30-Jul-2026,08:12,Home Station to Office Station,2.80
30-Jul-2026,17:48,Office Station to Home Station,2.80
31-Jul-2026,08:12,Home Station to Office Station,2.80
31-Jul-2026,17:48,Office Station to Home Station,2.80
01-Aug-2026,11:20,Home Station to Riverside Market,3.10
01-Aug-2026,16:45,Riverside Market to Home Station,3.10
03-Aug-2026,10:05,Home Station to Museum Quarter,3.40
03-Aug-2026,15:30,Museum Quarter to Home Station,3.40
04-Aug-2026,08:12,Home Station to Office Station,2.80
04-Aug-2026,17:48,Office Station to Home Station,2.80
05-Aug-2026,08:12,Home Station to Office Station,2.80
05-Aug-2026,17:48,Office Station to Home Station,2.80
06-Aug-2026,10:05,Home Station to Museum Quarter,3.40
06-Aug-2026,15:30,Museum Quarter to Home Station,3.40
07-Aug-2026,08:12,Home Station to Office Station,2.80
07-Aug-2026,17:48,Office Station to Home Station,2.80
10-Aug-2026,08:12,Home Station to Office Station,2.80
10-Aug-2026,17:48,Office Station to Home Station,2.80
11-Aug-2026,10:05,Home Station to Museum Quarter,3.40
11-Aug-2026,15:30,Museum Quarter to Home Station,3.40
12-Aug-2026,08:12,Home Station to Office Station,2.80
12-Aug-2026,17:48,Office Station to Home Station,2.80
13-Aug-2026,08:12,Home Station to Office Station,2.80
13-Aug-2026,17:48,Office Station to Home Station,2.80
14-Aug-2026,10:05,Home Station to Museum Quarter,3.40
14-Aug-2026,15:30,Museum Quarter to Home Station,3.40
17-Aug-2026,08:12,Home Station to Office Station,2.80
17-Aug-2026,17:48,Office Station to Home Station,2.80
18-Aug-2026,08:12,Home Station to Office Station,2.80
18-Aug-2026,17:48,Office Station to Home Station,2.80
19-Aug-2026,10:05,Home Station to Museum Quarter,3.40
19-Aug-2026,15:30,Museum Quarter to Home Station,3.40
20-Aug-2026,08:12,Home Station to Office Station,2.80
20-Aug-2026,17:48,Office Station to Home Station,2.80
21-Aug-2026,08:12,Home Station to Office Station,2.80
21-Aug-2026,17:48,Office Station to Home Station,2.80
24-Aug-2026,10:05,Home Station to Museum Quarter,3.40
24-Aug-2026,15:30,Museum Quarter to Home Station,3.40
25-Aug-2026,08:12,Home Station to Office Station,2.80
25-Aug-2026,17:48,Office Station to Home Station,2.80
26-Aug-2026,08:12,Home Station to Office Station,2.80
26-Aug-2026,17:48,Office Station to Home Station,2.80
27-Aug-2026,10:05,Home Station to Museum Quarter,3.40
27-Aug-2026,15:30,Museum Quarter to Home Station,3.40
28-Aug-2026,08:12,Home Station to Office Station,2.80
28-Aug-2026,17:48,Office Station to Home Station,2.80
31-Aug-2026,08:12,Home Station to Office Station,2.80
31-Aug-2026,17:48,Office Station to Home Station,2.80
